source_biography_page,sent_list,triplet,gpt_annotation,manual_annotation
Paškal Buconjić,"['When Austrian-Hungarian General Stjepan Jovanović entered Herzegovina via Vrgorac on 31 August 1878 to occupy the territory, Buconjić received him in the Humac friary and helped him to enter Ljubuški and the rest of West Herzegovina without resistance.', 'The new administration named Buconjić guardian of the Humac friary on 18 August 1879.']","['Stjepan Jovanović', '31 August 1878', 'Humac friary']",True,True
Jackie Chan,"[""In response to the 2011 Tōhoku earthquake and tsunami, Chan and fellow Hong Kong-based celebrities, including American rapper MC Jin, headlined a special three-hour charity concert, titled Artistes 311 Love Beyond Borders, on 1 April 2011 to help with Japan's disaster recovery effort.""]","['Chan', '1 April 2011', 'Japan']",True,True
Joe David Brown,"['Brown was one of the first men to parachute into Southern France, in August 1944, receiving a battlefield commission as second lieutenant and being awarded the Purple Heart and Croix de Guerre with Palm.']","['Brown', 'August 1944', 'Southern France']",True,True
James Carville,"[""Ghani, who renounced his US Citizenship in order to run for Presidency in Afghanistan, attended high school in the United States in Lake Oswego, Oregon during the late 1960s, earned his master's degree from Columbia University in 1977, was a Fulbright Fellow in the United States who taught at UC Berkeley, and Johns Hopkins University in the 1980s, and worked as an economist at the Washington, DC-based World Bank in the 1990s.""]","['Ghani', '1980s', 'UC Berkeley']",True,True
The Rolling Stones,"[""In November 2012, the Stones began their 50 & Counting... tour at London's O2 Arena, where they were joined by Jeff Beck."", 'At their second show, in London, Eric Clapton and Florence Welch joined the group onstage.', 'Recording took place in British Grove Studios, London, in December 2015, and featured Eric Clapton on two tracks.']","['Rolling Stones', 'November 2012', 'London']",True,True
Stewart Williams,"['Stewart Williams made his début for Wigan in the  6-36 defeat by Bradford Northern at Odsal Stadium, Bradford on 2 April 1985, and he played his last match for Wigan as an Interchange/substitute in the 28-19 victory over Oldham  at the Watersheddings, Oldham on 8 April 1985.']","['Stewart Williams', '8 April 1985', 'Watersheddings, Oldham']",True,True
Imran Khan,"['Later the same year, he put up a highly acknowledged performance in a home series against the formidable Indian team by taking 40 wickets in six Tests at an average of 13.95.', 'This same Test series against India, however, also resulted in a stress fracture in his shin that kept him out of cricket for more than two years.', ""In 1987 in India, Khan led Pakistan in its first-ever Test series win and this was followed by Pakistan's first series victory in England during the same year."", 'India and Pakistan co-hosted the 1987 Cricket World Cup, but neither ventured beyond the semi-finals.']","['Imran Khan', '1987', 'India']",True,True
Carl Jung,"['In 1938, Jung was awarded an honorary degree by the University of Oxford.', 'At the tenth International Medical Congress for Psychotherapy held at Oxford from 29 July to 2 August 1938, Jung gave the presidential address, followed by a visit to Cheshire to stay with the Bailey family at Lawton Mere.']","['Jung', '29 July to 2 August 1938', 'Oxford']",True,True
Murray Bookchin,"['In May 2016, the first “International Social Ecology Meetings” were organized in Lyon, which brought together a hundred radical environmentalists, decreasing figures and libertarians, most of whom came from France, Belgium, Spain and Switzerland, but also from the United States, Guatemala and Canada.']","['(International Social Ecology Meetings', 'May 2016', 'Lyon']",True,True
Walter Levin,"['Through Herbert Brün, who had come to Tanglewood on scholarship to study composition with Aaron Copland in the summer of 1948, Levin met the pianist Evi Markov, whose family had emigrated to America in November, 1940; the two were married a year later in Colorado Springs, and Evi, who had also gone to business school, became the business manager of the LaSalle Quartet.']","['Herbert Brün', 'summer of 1948', 'Tanglewood']",True,True
Dave Rempis,"['After graduating from Northwestern in 1997, Rempis decided to focus on performing, and in March 1998 was asked to replace saxophonist Mars Williams in the Chicago jazz band The Vandermark Five, led by saxophonist Ken Vandermark.', 'During his tenure with The Vandermark Five, Rempis also began to develop many Chicago-based groups and cooperative units as Triage, The Rempis Percussion Quartet, The Engines, Ballister and  The Rempis/Daisy Duo.', 'Rempis also works as a presenter in the Chicago area.']","['Rempis', 'March 1998', 'Chicago']",True,True
Hans Joachim Meyer,"['He grew up, after 1945, in the Soviet occupation zone which was relaunched in October 1949 as the Soviet sponsored German Democratic Republic (East Germany).', 'Between 1973 and 1975 he served as a member of the Dresden Pastoral Synod of the region covered by the German Democratic Republic.', 'During the later 1980s the winds of Perestroika blowing cross from, of all places, Moscow, found a growing resonance on the streets in the German Democratic Republic, (even if the government was appalled).', 'In previous general elections, turn-pout had always been recorded at around 99% of eligible voters and the proportion of votes cast for the  ruling Socialist Unity Party had always been recorded at around 99% of votes cast.   However, results in March 1990 indicated significant levels of support for various political parties, with the CDU and its centre-right allies winning 48% of the votes.   Shortly after that Meyer received and accepted an invitation to join the new government headed up by Lothar de Maizière, despite not being at this stage a member of any political party, and despite not having stood for election to the national parliament (""Volkskammer"").   Between 12 April and 3 October 1990 Meyer served as the German Democratic Republic\'s last Minister for Minister for Education and the Arts.   His responsibilities included participation as leader of the East German delegation at the All-Germany Joint Education Commission\xa0[de] between May and September 1990.   The commission was mandated to adapt an education system that would be implemented across a unified Germany.']","['Meyer', 'between 12 April and 3 October 1990', 'German Democratic Republic']",True,True
Guido Marini,"['Before joining the papal household, Marini worked in the Archdiocese of Genoa, where he was the personal secretary to three archbishops from 1988 to 2003, chief liturgist from 2004 to 2007, and chancellor from 2005 to 2007.']","['Marini', '1988 to 2003', 'Archdiocese of Genoa']",True,True
Lyudmila Talabayeva,['Lyudmila Zaumovna Talabayeva (Russian: Людмила Заумовна Талабаева; born 6 June 1957) is a Russian politician serving as a senator from Primorsky Krai since 8 October 2021.'],"['Lyudmila Zaumovna Talabayeva', '8 October 2021', 'Primorsky Krai']",True,True
Raimbek Matraimov,"[""In the same month, the charity foundation run by Matraimov's family organized a volleyball tournament in Osh oblast of Kyrgyzstan, and a number of high-profile Kyrgyz politicians visited it, including Dastan Jumabekov, speaker of the Kyrgyz parliament, and Kubatbek Boronov, then vice prime minister of Kyrgyzstan.""]","['Kubatbek Boronov', 'the same month', 'Osh oblast, Kyrgyzstan']",True,True
Leonas Bistras,"['In July 1940, Bistras was arrested, imprisoned in the Kaunas Prison and, without a trial, deported to the region of Archangelsk in 1941.', 'As he was not granted a pension or given work by the Soviet government, Bistras lived on donations from the people of Kaunas, where he died in 1971, three days before his 81st birthday.', 'He was buried in Petrašiūnai Cemetery in Kaunas.']","['Bistras', '1971', 'Kaunas']",True,True
The Rolling Stones,"['It reached number\xa03 in the UK and number\xa05 in the US.', 'His drug use had become a hindrance, and he was unable to obtain a US visa.', 'On 3 July 1969, less than a month later, Jones drowned under mysterious circumstances in the swimming pool at his home, Cotchford Farm, in Hartfield, East Sussex.', 'Cutler repeated the introduction throughout their 1969 US tour.', 'The show also included the concert debut of their fifth US number\xa01 single, ""Honky Tonk Women"", which had been released the previous day.', ""In September 1969 the band's second greatest hits album Through the Past, Darkly (Big Hits Vol. 2) was released, featuring a poem in dedication to Jones on the inside cover."", ""The Stones' last album of the sixties was Let It Bleed, which reached number\xa01 in the UK and number\xa03 in the US."", 'Just after the US tour ended, the band performed at the Altamont Free Concert at the Altamont Speedway, about fifty miles (80\xa0km) east of San Francisco.', ""In response to the growing popularity of bootleg recordings (in particular Live'r Than You'll Ever Be, recorded during the 1969 tour), the album Get Yer Ya-Ya's Out! was released in 1970."", 'It reached number\xa01 in the UK and number\xa06 in the US.', 'At the end of the decade the band appeared on the BBC\'s review of the sixties music scene Pop Go the Sixties, performing ""Gimme Shelter"", which was broadcast live on 31 December 1969.', '""Brown Sugar"" and ""Wild Horses"" were recorded at Alabama\'s Muscle Shoals Sound Studio after the 1969 American tour.', 'Sticky Fingers reached number\xa01 in both the UK and the US.', 'They completed the new tracks, along with material dating as far back as 1969, at Sunset Studios in Los Angeles.', 'The resulting double album, Exile on Main St., was released in May 1972, and reached number one in both the UK and the US.', ""The band's double compilation album, Hot Rocks 1964–1971, was released in 1971; it reached number\xa03 in the UK and number\xa04 in the US."", 'It is certified Diamond in the US, having sold over 6\xa0million copies, being certified 12× Platinum for being a double album, and spent over 347 weeks on the Billboard album chart.']","['Cutler', '1969', 'US']",True,True
Daniel Keyes,"['Keyes taught creative writing at Wayne State University, and in 1966 he became an English and creative writing professor at Ohio University, in Athens, Ohio, where he was honored as a professor emeritus in 2000.']","['Keyes', '1966', 'Ohio University, Athens, Ohio']",True,True
Charles de Gaulle,"['De Gaulle had sworn that he would never return to the École de Guerre except as commandant, but at Pétain\'s invitation, and introduced to the stage by his patron, he delivered three lectures there in April 1927: ""Leadership in Wartime"", ""Character"", and ""Prestige"".']","['De Gaulle', 'April 1927', 'École de Guerre']",True,True
Donald Friend,"[""Much of Friend's life and career was spent outside Australia, in places as diverse as Nigeria (late 1930s, where he served as financial advisor to the Ogoga of Ikerre), Italy (several visits in the 1950s), Ceylon (now Sri Lanka; late 1950s – early 1960s), and Bali (from 1968 until his final return to Sydney in 1980).""]","['Friend', 'late 1930s', 'Nigeria']",True,True
Terrence McCann,"['McCann sued one company, Foster Wheeler, because it had manufactured a boiler installed at an Oklahoma oil refinery where he had been present in 1957 for a couple of weeks while working as an engineering sales trainee for the general contractor building the refinery.']","['McCann', '1957', 'Oklahoma oil refinery']",True,True
Huldrych Zwingli,"['Huldrych Zwingli was born on 1 January 1484 in Wildhaus, in the Toggenburg valley of Switzerland, to a family of farmers, the third child of eleven.', 'Zwingli was ordained in Constance, the seat of the local diocese, and he celebrated his first Mass in his hometown, Wildhaus, on 29 September 1506.']","['Zwingli', '29 September 1506', 'Wildhaus']",True,True
Mariah May,"['After only a brief few matches, in June 2019, Mariah would be selected to attend and partake in a 3-day WWE tryout at the brand new UK WWE Performance Center, where she received coaching from William Regal, Sarah Stock, and others.']","['Mariah', 'June 2019', 'UK WWE Performance Center']",True,True
Soh Jaipil,"['He was the first Korean naturalized citizen of the United States, and founded  Tongnip Sinmun, the first Korean newspaper in Hangul.', 'He was thus convicted for treason and sought refuge in the United States where he became a citizen and earned a medical doctorate.', 'Soh was forced to return to the United States in 1898, from where he participated in the First Korean Congress and advocated for the March 1st Movement and U.S. Government support for Korean independence.', 'Soh became a chief advisor to the United States Army Military Government in Korea after World War II and was elected as an interim representative in South Korea in the 1946 legislative election.', 'Soh died in 1951 shortly after returning to the United States during the Korean War.']","['Soh', '1898', 'United States']",True,True
Scott A. McGregor,"[""McGregor resigned from the role in late 2004 citing a wish to return to the U.S. for his children's school, after living abroad.""]","['McGregor', 'late 2004', 'U.S.']",True,True
Master P,"['On May 23, 2021, Master P received his honorary doctorate from Lincoln University in Pennsylvania.']","['Master P', 'May 23, 2021', 'Lincoln University, Pennsylvania']",True,True
Adaline Weston Couzins,"[""John Couzins started his career as a carpenter, but later served as St. Louis's chief of police during the American Civil War, and from 1884 to 1887 he served as the U.S. marshal of the eastern district of Missouri.""]","['John Couzins', '1884 to 1887', 'eastern district of Missouri']",True,True
Imran Khan,"['On 3 November 2022, Khan was shot in the leg or in the foot by a gunman while giving a speech to supporters at a rally in Wazirabad, Punjab, and leading a march to the capital Islamabad to demand snap elections after he was ousted.']","['Imran Khan', '3 November 2022', 'Wazriabad']",True,True
Nathan Rogers (writer),"[""Nathan Rogers matriculated from St John's College, Oxford in July 1655, and in 1659 was briefly a member of the Third Protectorate Parliament, representing Hereford.""]","['Nathan Rogers', 'July 1655', ""St John's College, Oxford""]",True,True
Andrzej Grzegorczyk,"['In 1972, he was appointed a Full Professor, in 1973 he organized the pioneering semester in mathematical logic at the Stefan Banach International Mathematical Center of the Institute of Mathematics of the PAS, also known as the Banach Center and formed in January 1972 by the mutual agreement between the PAS and the Bulgarian, Czechoslovak, East German, Hungarian, Romanian, and Soviet national academies of sciences, which started the 1973–1992 cyclic three-to-four-month long lectures and allowed both the logicians and philosophers of the isolated Eastern Bloc to interact with their Western colleagues.', 'He was a member of the Warsaw branch of the Club of Catholic Intelligentsia, particularly he was appointed a deputy president in 1972–1973 and a member of the government in 1973–1974 and 1976–1978, formed in 1956 after the Gomułka Thaw to stimulate independent thought and inform Polish Catholics on the Catholic philosophy in the countries outside the Eastern Bloc.']","['Andrzej Grzegorczyk', '1973', 'Banach Center']",True,True
Tomás Badaloni,"['Badaloni was again on the bench in July 2019 versus Huracán in the Copa Argentina, prior to appearing for his professional debut against San Lorenzo on 27 July under Lucas Bernardi; playing for the full duration of a 3–2 defeat, with the centre-forward scoring his first goal in the process.']","['Badaloni', 'July 2019', 'Copa Argentina']",True,True
Virgil Percec,"['Percec delivered over 1400 plenary endowed lectures including: the Raychem Lecturer, Chemistry Department, University of California, Berkeley, CA (1996); The 4th Aggarwal Lecturer in Polymer Science, Chemistry Department, Cornell University, NY (1997); The Inaugural Woodward Lecturer ""Frontiers in Chemical Sciences"", Harvard University (2004); the 7th Rohm and Haas Lecture at the University of California, Berkeley (2005); the Lecturer of the Swiss Chemical Society (2008); Invited Lecture at Kekule Institute of Organic Chemistry and Biochemistry at the University of Bonn (2010); the Inaugural Kavli Foundation Innovations in Chemistry Lecture and Award, American Chemical Society (2011); The 8th International Dendrimer Symposium (2013); the Inaugural Aldrich lecture at Massachusetts Institute of Technology (2015); Ben-Gurion University of the Negev, Israel, Department of Chemistry and the Faculty of Natural Science\'s Distinguished Scientist Visitor and Lecturers (2016); IVA 100: Centennial Jubilee Workshop of the Royal Swedish Academy of Engineering Sciences (2019).']","['Percec', '2019', 'Royal Swedish Academy of Engineering Sciences']",True,True
Jean-Luc Ponty,"['He performed for two months in the U.S. and Canada with African expatriates he had met in Paris.', 'He then embarked on a tour in the U.S. in October and November 2001.', 'Ponty performed on a reunion tour with Stanley Clarke and Al Di Meola from June to October 2004 in the U.S. and Canada.', 'In 2006, he reunited Jean Luc Ponty & His Band and toured in the U.S., Chile, Venezuela, Western and Eastern Europe, Russia, The Middle East and India; they recorded a studio album called The Atacama Experience (2007) with guitarists Allan Holdsworth and Philip Catherine.']","['Ponty', 'June to October 2004', 'U.S.']",True,True
Jakaya Kikwete,"[""When TANU and Zanzibar's Afro-Shirazi Party (ASP) merged to form Chama Cha Mapinduzi (CCM) in 1977, Kikwete was moved to Zanzibar and assigned the task of setting up the new party's organisation and administration in the islands.""]","['Kikwete', '1977', 'Zanzibar']",True,True
Marco Cé,['Cé was ordained to the priesthood by Archbishop Luigi Traglia on 27 March 1948 in the Lateran Basilica in Rome.'],"['Cé', '27 March 1948', 'Lateran Basilica, Rome']",True,True
Paškal Buconjić,"[""Buconjić built the Bishop's Ordinariate in Glavica, Mostar, from 1905 to 1909, and moved into it on 24 March 1909.""]","['Buconjić', '1905 to 1909', 'Glavica, Mostar']",True,True
Mary Gillham,"[""Gillham attended Ealing County School for Girls, where she earned her Clerical Assistant's Grade I in April 1938, which would qualify her to later work at London City Council office in Westminster.""]","['Gillham', 'April 1938', 'London City Council office in Westminster']",True,True
Ron Richards (producer),"[""Richards started working as a song plugger in London's Tin Pan Alley in 1952, and discovered songwriter Jerry Lordan.""]","['Richards', '1952', ""London's Tin Pan Alley""]",True,True
Gala (singer),"[""Throughout 2017 and 2018, Gala headlined the 'Love the 90s' tour in Spain, with shows for over 20.000 people at the Palau De Les Arts Reina Sofia in Valencia, the Bizkaia Arena in Bilbao Palau Saint Jordi in Barcelona, the Wiziink Center in Madrid, Parque Hermanos Castro in Gijon  La Alcazaba in Badajoz and Can Fusteret in Mallorca."", 'In that same year Gala also headlined the Gay pride party at Teatro Barcelo, as part of the WorldPride festivities in Madrid in July, and the Highway Festival in Fribourg, Switzerland in December 2017']","['Gala', '2017', 'Palau De Les Arts Reina Sofia, Valencia']",True,True
Yahya Bakhtiar,"[""Yahya Bakhtiar, as the attorney general, played a key role in framing of the 1973 Constitution of Pakistan when he served in Prime Minister Zulfiqar Ali Bhutto's cabinet."", 'This resulted in the Second Amendment to the Constitution of Pakistan, that became a part of the Constitution of Pakistan on September 7, 1974 under the Government of Prime Minister Zulfiqar Ali Bhutto.', 'In 1974, he also joined the Pakistan Peoples Party after leaving the Council Muslim League.', 'Yahya Bakhtiar became well known in Pakistan when he defended the former prime minister Zulfiqar Ali Bhutto in court trial against the Zia-ul-Haq government starting on 24 October 1977, but Bhutto was sentenced to death on 18 March 1978 and then actually hanged on 4 April 1979.', 'This hanging of a democratically elected prime minister was called a ""judicial murder"" by many people in Pakistan.', 'Bakhtiar was elected as a member of National Assembly of Pakistan from the Quetta-Pishin constituency in 1977.', 'Yahya was also appointed to the Senate of Pakistan.', 'He was appointed Attorney General of Pakistan again when Benazir Bhutto became prime minister in 1988.', 'He also represented Nawaz Sharif in the Supreme Court of Pakistan when then president Ghulam Ishaq Khan dissolved the National Assembly by using his powers under Article 58(2)(B).']","['Yahya Bakhtiar', '24 October 1977', 'Pakistan']",True,True
