person,year,location,source_biography_page
Richard Laqueur,1881,Strassburg,Richard Laqueur
Richard Laqueur,1904,Strassburg,Richard Laqueur
Richard Laqueur,1919,World War I,Richard Laqueur
Thomas Bailey Marquis,1917,World War I,Thomas Bailey Marquis
Pierre Renouvin,1917,World War I,Pierre Renouvin
Richard Ernest Dupuy,1917,World War I,Richard Ernest Dupuy
William Nathaniel Thomas,1917,World War I,William Nathaniel Thomas
George Prothero,1919,World War I,George Prothero
Richard Laqueur,1936,Halle,Richard Laqueur
Carl Mirbt,1880,Halle,Carl Mirbt
Wilhelm Eduard Wilda,1831,Halle,Wilhelm Eduard Wilda
Johann Jakob Herzog,1854,Halle,Johann Jakob Herzog
Dieter Timpe,1931,Halle,Dieter Timpe
Alistair Cameron Crombie,1990,Halle,Alistair Cameron Crombie
Peter Maser,1976,Halle,Peter Maser
Johann Jakob Schmauss,1744,Halle,Johann Jakob Schmauss
Leo Stern (historian),1950,Halle,Leo Stern (historian)
Leo Stern (historian),1959,Halle,Leo Stern (historian)
Leo Stern (historian),1956,Halle,Leo Stern (historian)
Leo Stern (historian),1960,Halle,Leo Stern (historian)
Leo Stern (historian),1982,Halle,Leo Stern (historian)
Gustav Hertzberg,1826,Halle,Gustav Hertzberg
Gustav Hertzberg,1860,Halle,Gustav Hertzberg
Oswald Spengler,1904,Halle,Oswald Spengler
Ernst Förstemann,1841,Halle,Ernst Förstemann
Bernd Eisenfeld,1968,Halle,Bernd Eisenfeld
Alexander Schenk Graf von Stauffenberg,1928,Halle,Alexander Schenk Graf von Stauffenberg
Richard Laqueur,1952,Hamburg,Richard Laqueur
Reinhard Zimmermann,2002,Hamburg,Reinhard Zimmermann
Ulrich Pfeil,1985,Hamburg,Ulrich Pfeil
Wilhelm Eduard Wilda,1826,Hamburg,Wilhelm Eduard Wilda
Bernd Wegner,1997,Hamburg,Bernd Wegner
Walter Friedensburg,1855,Hamburg,Walter Friedensburg
Wolfgang Kraushaar,2015,Hamburg,Wolfgang Kraushaar
Hans Diller,1930,Hamburg,Hans Diller
Leonhard Harding,1998,Hamburg,Leonhard Harding
